Face_1,Face_2,Face_Gender,Congruency,Block,Trial,Alignment,Condition,Type,Key-Resp,Cor-Ans,Accuracy,R-time,Trial-Start,Key-Resp-Start
A_10_13_M,A_10_13_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500639099998807,,
A_06_05_F,A_06_05_F,Female,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500584000001254,,
A_02_01_F,A_02_01_F,Female,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5007519000009781,,
A_12_14_M,A_12_14_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500689799999236,,
A_03_01_F,A_03_01_F,Female,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006615000002057,,
A_10_11_M,A_10_11_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5006859000004624,,
A_10_09_M,A_10_09_M,Male,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006938999995327,,
A_03_04_F,R_03_04_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5006490999985544,,
A_14_09_M,R_10_11_M,Male,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5007189999996626,,
A_03_02_F,R_01_04_F,Female,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5006097000004956,,
A_05_08_F,R_01_04_F,Female,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5007033000001684,,
A_05_08_F,R_05_08_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007727000011073,,
A_09_11_M,R_09_11_M,Male,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007427000000462,,
A_05_06_F,R_02_06_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006532999996125,,
